id,property_id,name,description,street_address,property_code,floor_count,primary_image_url,created_at,updated_at,stats_cache
5f18441c-2cd3-4016-b7dd-3e06c45289aa,bb8e217c-a626-4b0c-8a72-fdb9083a7a22,Building 20,"Building 20; 2 floors, 16 units: 8 units of 1x1: 916 SF; 8 units of 1x1: 707 SF, units: 1137-1144, 2137-2144",575 W. Pecos Road,SB,2,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""A3R 1x1+Den"",""name"":""Serenity"",""count"":8},{""code"":""A11R 1x1 Renov"",""name"":""Repose"",""count"":8}]}"
5fb4c648-9e1e-475f-9ae7-8ba6bf0484c8,4446f2bc-a493-49e7-a675-70a6c8e7f527,452 N. Twin Oaks Valley,"8 units of 2x2: 950 SF, Unit numbers: 452-A to 452-H.",452 N. Twin Oaks Valley Rd.,WO,2,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""2x2"",""name"":""2x2"",""count"":8}]}"
626286c1-83a3-417a-9ac4-e36ca4a04fd6,4446f2bc-a493-49e7-a675-70a6c8e7f527,456 N. Twin Oaks Valley,"4 units of 2x2: 950 SF, Unit numbers: 456-A,B,E,F; 4 units of 3x2: 1100 SF, Unit numbers: 456-C,D,G,H.",456 N. Twin Oaks Valley Rd.,WO,2,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""3x2"",""name"":""3x2"",""count"":4},{""code"":""2x2"",""name"":""2x2"",""count"":4}]}"
6a644fdc-caed-4230-89a4-b15ad1b08a00,bb8e217c-a626-4b0c-8a72-fdb9083a7a22,Building 19,"Building 19; 3 floors, 20 units: 8 units of 2x1: 970 SF; 12 units of 1x1: 615 SF, units: 1129-1136, 2129-2136, 3131-3134",575 W. Pecos Road,SB,3,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""A1R 1x1"",""name"":""Aspire"",""count"":12},{""code"":""B4R 2x1"",""name"":""Lustrous"",""count"":8}]}"
74d55278-8744-47e1-ac91-693bf95993d1,548cd5c1-7fbb-487e-8d14-926bfd3cc83a,605 W. San Ysidro,"16 units of 2x1: 800 SF, Unit numbers: S177 to S192.",605 W. San Ysidro Blvd.,OB,2,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""2x1"",""name"":""2x1"",""count"":16}]}"
7b645362-fbf8-4efc-a056-d26b07165751,548cd5c1-7fbb-487e-8d14-926bfd3cc83a,579 W. San Ysidro,"16 units of 1x1: 637 SF, Unit numbers: S129 to S144.",579 W. San Ysidro Blvd.,OB,2,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""1x1"",""name"":""1x1"",""count"":16}]}"
7c591f3a-fdbc-4f9b-b643-8b13d75e437b,4446f2bc-a493-49e7-a675-70a6c8e7f527,472 N. Twin Oaks Valley,"8 units of 3x2: 1100 SF, Unit numbers: 472-A to 472-H.",472 N. Twin Oaks Valley Rd.,WO,2,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""3x2"",""name"":""3x2"",""count"":8}]}"
7c5a7627-f855-4126-8e6d-f2686ea6dca5,548cd5c1-7fbb-487e-8d14-926bfd3cc83a,573 W. San Ysidro,"16 units of 1x1: 637 SF, Unit numbers: S113 to S128.",573 W. San Ysidro Blvd.,OB,2,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""1x1"",""name"":""1x1"",""count"":16}]}"
7d0746e5-d32a-4600-b68e-6d3feded5710,69233516-ae3c-4946-ae19-07813b8fe0b8,Building 5 Back East,"Building 5; Back East, 6 carports, units: 067-087; ",4225 E McDowell Rd.,RS,3,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""A3 1x1"",""name"":""Canyon"",""count"":12},{""code"":""B2 2x2"",""name"":""Ironwood"",""count"":12},{""code"":""B1 2x2"",""name"":""Cholla"",""count"":10},{""code"":""A2 1x1"",""name"":""Guadalupe"",""count"":7},{""code"":""A5 1x1"",""name"":""Sonara"",""count"":6},{""code"":""A4 1x1"",""name"":""Saguaro"",""count"":4},{""code"":""C1 3x2"",""name"":""Palo Verde"",""count"":3},{""code"":""A1 1x1"",""name"":""Mesquite"",""count"":3}]}"
7eb938c9-ffeb-4ced-bf99-ea7cc04cf99b,bb8e217c-a626-4b0c-8a72-fdb9083a7a22,Building 8,"Building 8; 3 floors, 20 units: 8 units of 2x1: 970 SF; 12 units of 1x1: 615 SF, units: 1049-1056, 2049-2056, 3051-3054",575 W. Pecos Road,SB,3,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""A1R 1x1"",""name"":""Aspire"",""count"":12},{""code"":""B4R 2x1"",""name"":""Lustrous"",""count"":8}]}"
807d38ee-fc1d-4b57-8e69-de9fe1410246,4446f2bc-a493-49e7-a675-70a6c8e7f527,460 N. Twin Oaks Valley,"8 units of 3x2: 1100 SF, Unit numbers: 460-A to 460-H.",460 N. Twin Oaks Valley Rd.,WO,2,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""3x2"",""name"":""3x2"",""count"":8}]}"
80e13c38-1113-4cd1-9142-00f4985a4146,4446f2bc-a493-49e7-a675-70a6c8e7f527,464 N. Twin Oaks Valley,"8 units of 3x2: 1100 SF, Unit numbers: 464-A to 464-H.",464 N. Twin Oaks Valley Rd.,WO,2,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""3x2"",""name"":""3x2"",""count"":8}]}"
822115be-029e-45a0-a629-ab88754ad450,548cd5c1-7fbb-487e-8d14-926bfd3cc83a,617 W. San Ysidro,"16 units of 2x1: 800 SF, Unit numbers: S208 to S224 plus a laundry room",617 W. San Ysidro Blvd.,OB,2,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""2x1"",""name"":""2x1"",""count"":16}]}"
83b9b497-2158-477f-8e1e-b7bb1268f47a,bb8e217c-a626-4b0c-8a72-fdb9083a7a22,Building 11,"Building 11; 3 floors, 24 units: 12 units of 2x2: 1093 SF; 12 units of 2x2: 1022 SF, units: 1065-1072, 2065-2072, 3065-3072",575 W. Pecos Road,SB,3,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""B2R 2x2"",""name"":""Rejuvenate"",""count"":12},{""code"":""B1R 2x2"",""name"":""Lavish"",""count"":12}]}"
876b367b-1b43-47d8-b05d-2f6e9fa470ed,bb8e217c-a626-4b0c-8a72-fdb9083a7a22,Building 14,"Building 14; 3 floors, 24 units: 12 units of 2x1: 970 SF; 12 units of 1x1: 796 SF, units: 1089-1096, 2089-2096, 3089-3096",575 W. Pecos Road,SB,3,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""A2R 1x1"",""name"":""Tranquility"",""count"":12},{""code"":""B4R 2x1"",""name"":""Lustrous"",""count"":12}]}"
8c057524-3379-493b-b419-3b2a42d4f64b,bb8e217c-a626-4b0c-8a72-fdb9083a7a22,Building 18,"Building 18; 3 floors, 24 units: 12 units of 2x2: 1093 SF; 12 units of 2x2: 1022 SF, units: 1121-1128, 2121-2128, 3121-3128",575 W. Pecos Road,SB,3,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""B2R 2x2"",""name"":""Rejuvenate"",""count"":12},{""code"":""B1R 2x2"",""name"":""Lavish"",""count"":12}]}"
9de2b2f3-3a15-437a-b058-084b9e7609dc,548cd5c1-7fbb-487e-8d14-926bfd3cc83a,611 W. San Ysidro,"16 units of 2x2: 852 SF, Unit numbers: S193 to S208.",611 W. San Ysidro Blvd.,OB,2,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""2x2"",""name"":""2x2"",""count"":16}]}"
